Housing-1
,Area_name,New houses,New other residential building,Total dwellings,Value of new houses,Value of new other residential building,Value of alterations & additions including conversions to residential building,Value of total residential building,Value of non-residential building,Value of total building
117,Sydney - City and Inner South,82,"1,863","2,039","44,047","810,953","349,770","1,204,770","2,643,379","3,848,149"
11701,Botany,33,419,455,"17,161","141,102","21,013","179,276","410,807","590,082"
117011320,Banksmeadow,0,0,0,0,0,0,0,"50,849","50,849"
117011321,Botany,5,18,24,"1,883","7,309","4,145","13,337","16,140","29,476"
117011323,Pagewood - Hillsdale - Daceyville,9,391,400,"5,897","128,636","5,851","140,384","41,208","181,592"
117011324,Port Botany Industrial,0,0,0,0,0,0,0,"22,246","22,246"
117011325,Sydney Airport,0,0,0,0,0,0,0,"77,505","77,505"
117011634,Eastlakes,7,6,13,"3,366","3,357","5,535","12,258","4,431","16,688"
117011635,Mascot,12,4,18,"6,015","1,800","5,482","13,297","198,429","211,726"
11702,Marrickville - Sydenham - Petersham,22,362,390,"10,271","177,069","55,726","243,066","113,067","356,133"
117021327,Petersham - Stanmore,6,1,10,"3,695",318,"27,049","31,063","36,911","67,974"
117021328,Sydenham - Tempe - St Peters,7,9,17,"3,284","3,786","9,149","16,219","2,060","18,279"
117021636,Marrickville - North,3,274,278,"1,107","129,709","11,996","142,812","57,049","199,861"
117021637,Marrickville - South,6,78,85,"2,185","43,256","7,532","52,973","17,047","70,019"
11703,Sydney Inner City,27,"1,082","1,194","16,615","492,782","273,031","782,427","2,119,506","2,901,933"
117031329,Darlinghurst,2,2,4,"2,069",940,"6,580","9,589","23,031","32,620"
117031330,Erskineville - Alexandria,3,262,267,"1,725","106,624","12,805","121,154","108,199","229,353"
117031331,Glebe - Forest Lodge,7,77,84,"5,050","50,380","20,277","75,707","26,318","102,025"
117031333,Potts Point - Woolloomooloo,2,0,2,"1,300",0,"4,302","5,601","13,927","19,528"
117031336,Surry Hills,0,2,4,0,825,"32,412","33,237","85,764","119,000"
117031638,Camperdown - Darlington,3,0,3,"1,740",0,"6,853","8,594","8,822","17,416"
117031639,Chippendale,0,0,0,0,0,"1,640","1,640","53,911","55,552"
117031640,Newtown (NSW),5,11,18,"2,338","3,824","15,265","21,427","7,758","29,185"
117031641,Pyrmont,0,0,0,0,0,"3,760","3,760","32,191","35,951"
117031642,Redfern,1,0,1,630,0,"13,666","14,296","177,670","191,966"
117031643,Rosebery - Beaconsfield,1,5,7,385,"2,288","5,132","7,806","11,414","19,219"
117031644,Sydney (North) - Millers Point,0,0,76,0,0,"141,823","141,823","1,280,761","1,422,584"
117031645,Sydney (South) - Haymarket,0,0,0,0,0,313,313,"253,850","254,163"
117031646,Ultimo,1,0,2,453,0,"1,271","1,724","17,195","18,919"
117031647,Waterloo,1,344,345,750,"204,344","5,983","211,077","2,899","213,976"
117031648,Zetland,1,379,381,175,"123,556",949,"124,680","15,796","140,476"
118,Sydney - Eastern Suburbs,157,692,876,"252,285","382,372","454,174","1,088,831","1,027,292","2,116,123"
11801,Eastern Suburbs - North,75,462,558,"190,987","279,825","314,486","785,298","211,790","997,088"
118011339,Bondi - Tamarama - Bronte,10,25,38,"18,770","10,234","39,885","68,888","2,980","71,868"
118011340,Bondi Beach - North Bondi,10,74,97,"26,628","38,679","45,922","111,229","11,144","122,373"
118011341,Bondi Junction - Waverly,6,175,183,"3,643","102,442","25,428","131,513","78,036","209,549"
118011342,Centennial Park,0,0,0,0,0,0,0,0,0
118011344,Dover Heights,7,89,98,"9,398","38,670","17,457","65,525","3,620","69,145"
118011345,Paddington - Moore Park,4,0,4,"6,084",0,"37,105","43,188","68,445","111,633"
118011346,Rose Bay - Vaucluse - Watsons Bay,21,47,68,"73,073","36,496","51,199","160,768","13,459","174,227"
